Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
10500,244381,166859,55676,33428,37057,14042,14361,19000388,53893,46373,11345,34638860,141352,15617251,44184,35896227,37350,7691000,9330,14224747,5154524
10750,221250,148578,43527,33505,37015,12840,15339,19527805,50996,46968,11543,34705514,439277,16058881,44193,36272763,34587,7739646,8775,12654848,5211515
11000,160756,234330,43302,33392,37904,14137,16497,21026240,52322,45432,13292,35872191,210869,16889328,36001,36673672,38770,7791710,8446,13611846,5454048
11250,136196,287746,43252,32997,34852,14717,16067,21450273,52267,48302,88105,37975351,115229,17769575,43031,37831580,36623,8142933,8222,11786664,5457864
11500,133541,223831,43685,32798,36245,14879,16466,22204611,50065,46603,6933,37531950,63684,18296065,44409,39843235,34966,8101971,8589,12405215,5547735
11750,132860,130362,44509,32177,66678,16066,16519,23027598,52897,50171,8089,38557109,56189,22472065,44402,40308523,34823,8262368,8388,12423437,5821176
12000,133883,139729,43815,33725,41859,16218,17665,23753453,50904,55168,9378,40900868,61666,18325692,41407,41112753,35404,8398757,15410,13474832,5479279
12250,136243,150748,44901,32133,50288,15156,16344,24765939,51522,56871,9629,42386352,52187,18965659,46245,40821081,34453,8644108,11558,14036111,5573139
12500,138396,232638,43093,34316,42399,13743,18159,25494521,56857,57549,10392,48425795,60225,19784104,44458,41870951,39999,8783088,9531,14535504,5922519
12750,138884,227753,43245,34870,1346266,12771,16898,26083557,53757,51793,9628,44051275,56198,20413164,48634,43774926,39172,8945784,9557,15370011,6369542
13000,136775,201571,41103,35261,60900,21745,14900,27143307,817391,54531,9760,45210120,144514,21555902,44801,44673086,38444,9263369,7720,13534734,6200453
13250,140735,204730,42444,34699,45500,15058,17405,27573314,47300,74346,9230,48159298,96223,24439634,50714,47582279,37231,9472610,8534,15201599,6192917
13500,870052,163514,41952,50688,44814,14273,14997,28196762,46104,51234,9331,48340295,62325,27115423,49677,44561040,35897,10441438,8666,13930389,6187402
13750,632051,219525,42072,35093,88348,14899,16621,28766084,59555,57341,9216,50590420,55230,28178459,50786,44608694,34331,10144317,8146,13213307,6520832
14000,432334,166937,41796,36003,44750,17385,18922,29205776,51979,54854,9401,51523946,49956,29267870,49370,46638145,33993,10410376,7563,13624837,6679700
14250,267532,281430,42170,34143,47249,13441,16673,30807413,46358,57263,9283,54441116,96167,26333393,47724,46106973,35898,11499008,13653,13760812,6880066
14500,865366,275209,41968,33769,46800,14969,17236,30979336,47931,56225,9288,56903526,123771,27200650,50877,48179867,33528,10797323,7688,14539055,7185423
14750,467945,296543,42041,35508,61499,11077,16224,31428420,46546,63485,9218,58397050,124400,25146132,51524,49007450,34367,10529138,8459,14731509,7165524
15000,1253841,207652,42189,34096,72845,11215,17769,31515467,46408,72359,9214,60559071,100055,32300039,56283,49791663,34189,10731144,7905,18477725,7305847
15250,464422,160464,41641,35629,77646,26603,16041,31919992,47545,60324,9367,63743103,1377899,26798734,53806,49039027,33144,11440114,9705,18674640,7406334
15500,226678,168673,41466,35977,74040,26001,15457,32502308,47728,59464,9387,63643346,148915,28507504,55010,50115027,33943,12159659,8260,15599924,7437017
15750,281814,217546,41800,34742,42266,16111,20426,36875178,57341,65249,9329,66590873,123561,26400149,87097,50223472,34478,13447810,8356,16811904,7256252
16000,216557,213661,41677,33320,40874,50992,18326,34540108,64867,120868,9218,67363987,74258,27026304,195495,51758281,31269,15307530,7869,18106891,7533705
16250,254515,301143,41832,33385,42155,36022,17255,34235532,63894,57028,9493,69292824,62177,27835970,100339,51292004,35091,17013011,7736,17582563,7735095
16500,438065,266460,42078,35373,44442,15773,17626,35586815,56523,59731,9267,72565460,74352,28492293,56129,49529419,718808,16990561,8778,17986750,8109275
16750,308244,184175,41316,34025,41185,13740,17476,36232036,54034,62112,9384,77466134,58676,30133696,59694,51754511,35870,19646532,7914,18653645,8074958
17000,258542,318514,41196,34154,162728,12602,17544,36363953,51856,83684,9583,77581849,55598,30072630,156469,52972454,36176,20790981,8148,19562689,8356635
17250,304851,181310,41819,33834,252065,13608,17876,36602199,52126,123785,9404,80647907,60261,30059573,50299,52601546,33743,21402670,7712,24737954,8425280
17500,309034,320940,41436,35246,80253,13726,18906,37439349,54686,85579,9313,80233243,77177,37869391,53206,53617918,33311,22230610,8374,21607238,8632409
17750,231856,259280,41364,34132,181119,17729,17990,37596822,56771,87823,9527,79472970,55972,40399276,57688,54799638,32833,23999089,8402,21122655,8425461
18000,231273,361502,41181,35499,102134,13446,18116,38400689,63599,59114,9271,83626322,68346,41268229,34642,54899500,31562,34187824,8663,23627045,8409009
18250,239141,293650,60899,36164,101030,14491,18504,39642969,51827,58998,9548,79196302,73009,42098925,17608,54593624,31060,25269400,8394,26229767,8846468
18500,194706,294470,41446,37022,56546,13032,18254,43769196,55256,58116,9494,86277804,135060,36223306,17905,54783328,33261,29207372,10307,30357168,8732801
18750,214463,366310,42009,51072,43719,14362,16650,39674898,55801,61594,9037,89645531,52208,34019544,17085,55341113,32999,32904158,8927,23577305,8901881
19000,212210,213153,41149,35488,39802,25023,17046,40305453,52427,66890,9263,90194548,62434,34076184,17205,54666407,31413,36894659,8470,24515871,9085123
19250,226818,197328,41160,34896,41827,63674,17663,40527862,56068,80998,9210,91399433,54998,34861067,19095,57984805,30416,37526501,8588,24668077,9208736
19500,197540,148998,41330,36792,39393,13556,18810,41497581,53311,97438,9194,92763127,49342,35106415,18685,59902309,38840,38535145,7742,25898338,9493585
19750,197956,167124,41565,39873,43957,30988,21464,41805605,84271,65906,9033,95436962,48132,36251725,18570,56716694,38017,40165851,8458,31605701,9190372
20000,195417,155076,41119,41694,39788,13266,18706,42768977,192512,66774,28000,97509257,98595,36785775,18362,54535323,40086,41968738,8369,26966727,9645519
20250,185298,157799,41418,37625,40127,13411,17564,42812956,94576,60850,9011,97417639,67318,36758818,19016,57077446,35804,42694757,8013,27370150,9986399
20500,183475,165133,41480,39078,42885,12828,18029,42578883,90408,60865,9088,97972146,46534,37212146,17292,59560003,39357,40788542,7741,27975090,10242768
20750,185509,173363,41709,35556,42594,13483,17567,44472458,64914,92221,9012,99097510,50187,39753057,16332,59686361,38164,32421293,8976,28100938,10216727
21000,192354,179740,41458,37090,43287,15114,15998,43866377,61119,69611,9028,99573123,51891,42588576,16116,56526940,42638,42305452,9051,34127507,10479173
21250,187847,171996,41643,36604,42259,14427,19167,45199793,61465,108710,8978,102328844,49031,50667882,18400,58278481,41415,46609358,8631,42282358,10523042
21500,194026,172457,41896,36981,43477,13565,22048,46366484,200099,96693,13348,101608042,46615,40263271,17991,59718095,39156,48568937,7749,37963767,10448334
21750,182945,196825,41708,36744,88675,12691,21049,46212158,93567,133341,13852,102121649,50317,51682336,17767,58451116,36466,48844835,8090,38760267,10450827
22000,197515,158051,42157,36441,42305,12775,18828,49022741,67952,60504,13830,104408960,51591,52612455,18278,62415582,35689,45777348,8493,33330275,10511699
22250,274984,165153,41873,43030,45302,11987,19000,46366432,94727,59632,13840,105094129,60803,53061275,17577,60991148,35623,52055001,7740,33474570,10996795
22500,265375,159275,41877,36851,38386,12840,26422,47032062,106442,55711,13943,104205754,61514,52755841,17295,62803581,32735,50835026,8955,33221715,11253664
22750,243564,147217,42153,37217,41027,12403,24597,47358008,65927,57080,13992,105664938,94816,51818374,19531,64172085,31628,43738970,8026,22950473,11519863
23000,233196,140171,174110,34632,39962,13164,19552,47748956,91000,59074,13663,105617271,83107,47191933,18287,62890236,33120,52878382,8080,51838312,11550671
23250,196911,141099,91233,34388,40771,10155,75708,48102253,73988,69619,13606,101628974,52749,50307339,20839,63130437,34692,51246433,7942,52314014,11771335
23500,176330,141520,72000,34955,39422,11221,54480,48512046,151935,65788,13236,93905193,44429,46372808,19686,64380877,32817,55136158,71023,54010828,11880814
23750,187013,142936,43504,81510,40500,11032,26101,49243053,66860,64363,13331,103197243,49700,46416322,19920,87450857,31819,58223695,8910,53097315,12465081
24000,194767,144291,42706,36450,41156,12581,23987,49647722,64518,63946,13182,91822098,47825,51171242,19952,64913990,32806,58836027,8799,56734497,11976870
