Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
46000,193661,349363,45891,39968,49025,13631,72354,100086879,79837,60683,9069,162766311,46239,96955349,18059,105926701,30568,86402377,9352,110271545,22865042
46250,189973,366169,46669,41833,41791,12756,100832,98605617,80764,64632,9156,136714194,51541,105897699,18902,104127961,31022,90311987,7538,114796417,22528925
46500,193138,299674,46169,35461,46185,14145,57467,98298939,91165,62760,9243,163288413,75929,104780412,21224,106610877,33009,94198974,8427,104936166,23279448
46750,181849,293011,45906,32825,41016,15067,107309,98826278,76834,63926,9023,162849582,49896,94781708,19522,102672577,31714,101016132,7264,91633479,33239858
47000,185912,297636,46285,58040,40100,20380,18041,98611541,77206,62567,9001,161894041,46798,92396372,19456,109348026,31318,84332799,7672,80508208,26308422
47250,183939,321415,46243,37363,42322,60194,51118,99892799,80499,71542,8998,149574407,49521,93095583,18837,109454311,33335,100166757,7677,101738994,22561566
47500,182771,254477,46835,45323,41629,15530,69687,100695724,98854,66356,9046,153180783,48701,94264045,19957,105501315,36482,95676842,7845,118446669,23169339
47750,188178,239088,46115,42672,40261,13871,49717,100083276,78955,65462,8995,144193547,44877,96111888,18650,104650762,31062,116606773,7691,115894463,23518558
48000,187473,242852,46035,46819,40506,15455,52487,101088143,106576,67202,8979,139721898,52072,93630354,18267,109652524,32552,108444405,7483,116767330,26400261
48250,184007,237309,46968,46223,40246,15825,15670,102428490,130716,67405,9034,155476856,49928,95659848,18782,107527190,37327,115600592,7242,114190496,24544269
48500,179101,263208,46442,41588,40627,14787,16048,106578634,82317,78168,8967,166894391,54229,102651025,18783,111563691,53254,91564615,7366,118870050,25407240
48750,187711,276383,46596,40838,39689,14011,18036,104086336,80945,61877,9039,150316476,62423,96910864,20085,117648514,34490,108613533,7530,119842939,28465636
49000,186927,308128,46582,40711,40486,16672,16762,105123469,78891,82516,9024,149408182,85558,105713503,20109,111967429,35105,100032019,7464,121144923,27395203
49250,177086,292342,46523,40811,40046,16543,16345,104822962,78586,67182,8999,148085866,98141,100528988,19242,113501081,31904,105320606,7548,121924031,24475133
49500,188824,270314,46807,39308,42584,15901,15265,105781106,76217,61424,9044,166597837,77718,97962036,17686,115685315,34832,104020386,8064,121467535,24692841
49750,182309,294664,46461,44375,40508,15086,15831,106048668,76653,67731,8969,168928431,108218,103342094,16194,113235075,70350,107210518,8231,119278990,25301780
50000,183853,317358,50773,41340,37413,22889,15749,106025892,71893,65250,8975,168104463,75119,104246854,18148,114378688,43033,86371599,7813,92510013,26534397
50250,183213,308409,46554,51180,41711,24870,16249,106433448,86301,67527,9225,172617942,47870,97967375,17005,112838449,40395,84552089,7329,95893559,25038268
50500,177364,270851,46390,37896,55561,24271,16661,108320880,83483,67899,8996,169479736,45198,107564162,16342,113780080,35651,86388003,7406,96118064,23957760
50750,177967,307170,46340,41440,40026,15464,13816,108916534,78278,61724,8987,174350551,45030,102044286,17451,116974954,36885,92145757,7742,121263931,25477714
51000,183814,321920,46203,41188,40141,75168,15589,112402528,85060,69705,9030,173511960,48820,115484134,17564,115531436,36477,100868161,7168,125632541,27630533
51250,177121,322390,46345,87770,39132,48204,30151,109548316,87822,66330,9160,175872921,46041,103931726,17639,115682110,35352,112172341,7160,124534221,33295473
51500,170812,302603,70716,147943,38646,17899,44141,109842894,5217525,70542,8907,177427696,43945,96725790,16968,115284165,34610,118617025,7597,126074910,26692562
51750,387091,311124,46207,78818,39166,19209,14626,110937535,77282,67725,7917,177135035,49566,96698808,17141,116566017,36883,102374897,7549,129163694,26818476
52000,570264,316342,45775,121239,38418,19312,15080,112852662,69759,69933,7898,174361777,44955,99779787,16372,116026222,51779,89677320,7578,128258926,31358929
52250,456990,316375,46972,40571,38344,33847,17113,114507119,75121,66457,7880,157876845,51702,102033704,17613,119860521,35924,119592633,7448,125476171,28486627
52500,347222,312328,47312,37449,38429,67269,16683,114217764,69371,70463,7919,160826704,47393,105208196,17664,118368728,34912,108154331,7359,128029761,29554062
52750,230313,329263,46835,38901,39465,100504,16651,115037473,64615,71031,8892,176537807,52866,107777452,16710,116541304,35927,113132965,7420,115350890,28124932
53000,215785,308661,46710,38552,59809,53864,17053,116007066,65013,94542,7849,177594200,49658,109329245,16510,120886419,38242,100038486,7352,132438050,27908291
53250,232789,311504,46112,36091,40632,82122,16665,120026606,61515,76476,7779,175529295,102382,119741586,15877,128930705,36529,112578489,7471,130035918,27386457
53500,334890,310599,46492,33290,43973,14785,16039,115071171,66222,83050,7755,177200978,74099,129927679,15395,123392747,46301,94102519,6945,133227311,27891940
53750,243370,340537,47039,34466,43199,35012,15494,116117657,219112,74525,7866,176528727,76371,112574814,17020,126415110,36346,106148834,7601,132833439,28344351
54000,222179,350439,46433,34848,37369,36341,14634,116086857,111915,72272,8059,172375622,49242,112420604,16576,119577040,34547,123834531,7349,133884760,27911034
54250,219862,329150,46404,33368,35455,35008,14948,116982516,69260,80290,8053,166882145,48772,116760036,16499,123573914,45733,97203812,7496,130863372,29819748
54500,239072,431786,46583,33958,38349,16338,16983,120988040,88875,68627,7963,176063713,47962,109013128,16605,123987655,36595,108269689,7481,127544925,27955112
54750,219489,432081,46808,34447,55892,13460,16385,120673351,74771,74078,7522,182353280,48544,113741142,16602,124016209,36686,115544078,7876,135346069,27833636
55000,206562,326696,46773,34870,42753,13461,16645,122547143,68202,75018,7538,176225763,44920,117138445,17587,124018577,49307,101794516,7475,136367562,28778996
55250,209457,431000,46386,35285,47055,12849,16460,125463425,70258,73287,7668,178493673,46300,116346029,15575,125542487,35712,113753487,7512,101965490,29617026
55500,203864,317405,46442,38003,44670,14755,17208,123867773,74402,102339,7518,181876578,43778,118240006,16216,124637300,35415,97047348,7370,127884774,29732123
55750,223937,304906,62161,36826,52409,13343,18224,124086532,77935,72879,7544,181441611,42764,117639506,17177,125394379,35064,114054839,7555,136234268,30551600
56000,276264,396988,45533,32078,53316,12320,15657,125037622,72971,74663,7537,185082267,40047,125120510,16021,127585538,36684,96907380,7561,138827855,28301870
56250,230538,286049,49344,34630,58638,14114,14755,125201547,80852,76602,7611,184748983,42440,125528185,15871,127730721,34945,112077958,7800,136628011,29232283
56500,221896,304351,46420,31696,52897,14936,15479,126201621,72423,73022,7782,184658493,40199,114928722,15254,129272265,31540,102697258,8124,135459303,29905434
56750,223905,276419,47150,32503,110540,15634,16553,127256529,72621,79179,7569,185562276,40753,114748595,17951,126420950,33097,111469295,8444,140470442,37404393
57000,213896,230386,45927,32797,61490,39487,16966,125977254,69292,91500,7516,185959291,41879,132798762,17739,129510923,34056,130243300,7724,142298596,30307382
57250,187434,239531,44446,32713,54523,16351,18539,129216362,68190,91296,7322,186262894,41598,125497175,16818,129189199,49276,134598682,8423,140819690,31014751
57500,199653,236121,45230,33439,122342,15283,18178,130475843,69265,82042,7339,186387942,41957,125736550,14640,131062180,43405,123122312,8256,142430174,31198812
57750,215571,269978,45535,31446,64375,17320,17395,130440441,67845,96438,7239,185257638,40702,125538618,16611,130383594,35881,105773556,8388,142199731,30726532
58000,207029,275977,49828,35996,302839,17867,17442,130410903,76901,74075,7133,152865596,38276,115991778,16971,128554967,95104,117489266,7557,137656126,29846084
58250,196601,239030,48595,34488,104355,45781,20953,133075216,76914,76904,6602,169032468,40694,129476652,16840,131374579,45812,110528910,8145,138597804,29994778
58500,207765,237648,100445,39241,99461,25702,23361,132115496,71878,73433,6732,187083875,41116,126933312,16033,132252163,41034,115266939,7793,138115927,31871889
58750,250360,272441,86009,36354,60114,14185,20190,135527955,69111,75403,6696,190779891,41707,123055131,16718,131857220,48962,113371220,7788,97834213,30678587
59000,277319,218998,47235,37513,56192,13260,16717,135025048,72418,78673,6611,191101627,40637,131992144,17682,133891290,33258,132400282,7451,107877387,30377131
59250,259424,227084,46875,49154,51724,14295,20278,141243103,72036,80321,6691,191256560,39479,126070064,16967,135913336,50130,134893098,8025,136193721,30942720
59500,269598,224402,47343,41855,104485,14817,21218,140543958,75173,80373,6516,192251989,41291,120736752,15943,131925526,37269,133253511,8050,142443918,30531734
59750,421394,247169,47706,40063,66445,15908,19919,141088286,78825,83352,6654,192372538,40681,138401053,15453,130504518,34274,116649886,7430,144583562,33055396
60000,332714,280293,47246,53525,48718,14796,19942,139912570,81492,79398,6561,192287199,44076,135916401,16976,138014745,34966,119632208,7556,136810868,31563515
60250,245238,325723,46659,35508,48282,14597,24200,140621965,85015,105102,6447,192669698,40958,128992808,17079,135510968,33068,106517194,8024,141111204,31704285
60500,249426,272965,46520,37428,38691,15143,25953,142903897,80607,132872,6589,183985563,40288,122637076,15788,136031540,32799,118342501,7823,150334195,36247460
60750,221111,278698,48077,152527,37259,14525,21270,141953845,72932,99787,6667,159936495,40469,136739822,15943,132760086,37486,119030434,8137,148174869,32208463
61000,217070,245443,49482,38623,36747,15405,51963,149048622,68039,80876,6625,190999542,42755,126819645,16420,135958337,35862,128599939,7732,148939863,32684572
61250,212515,259200,49459,54799,34849,15834,24791,151250301,71123,130285,6884,175842722,40058,130994347,15089,134890376,40138,113843930,7691,152635638,38377506
61500,216409,317159,49707,50724,37430,16292,16988,147167164,83369,123160,6514,194003765,41533,143991551,13423,136819042,35910,123400650,7910,151397124,40217519
61750,220689,267737,49493,57140,37986,16909,15543,149410637,75817,82686,6682,191300389,43703,150651805,15141,135445904,36255,130341676,7572,153756951,40740389
62000,217650,243557,49123,49503,36181,20329,17048,145632464,91221,122119,7024,183661334,42162,129503031,15704,139997153,37118,129934738,7596,149241000,38838702
62250,214078,241777,48971,88073,36820,18573,16686,150493506,82326,158495,6802,200391136,41775,127898786,14738,140451836,36852,141166027,7750,154904239,36047152
62500,221972,257264,50139,42012,37132,18918,15090,153351243,88678,138095,6687,196329226,40716,130871905,15242,135362571,45455,127664204,7742,135385916,36478248
62750,222326,238152,49363,46805,36045,52295,14927,153760901,85312,83686,6942,183436322,42578,132357963,15691,140963919,52607,147478021,7747,153610970,37940891
63000,219296,232500,90812,55383,34024,16354,16045,150024275,74510,129596,6623,199591908,42545,133262489,15721,141112455,37786,127189762,7758,155613728,42958790
63250,319287,274277,49159,35010,37690,18423,15700,153149908,87801,224356,6968,193606240,43656,142499046,17235,146472247,36853,127736138,7387,154709800,40357142
63500,401655,274668,52198,37370,33772,20219,13923,151205134,85284,85259,6733,203286342,41266,140025756,15225,143556487,51963,128799699,7290,154376839,37399061
63750,396046,255926,62717,86260,38725,16478,13949,153740171,86978,123426,6836,201275465,43353,141657820,16643,144795040,37421,128065498,7544,154389785,36611152
64000,365246,244046,50455,38354,36144,17269,16133,156290250,97016,97804,6580,203604096,42693,140264240,15814,147612869,41651,146355887,8050,158593270,37762977
64250,268149,239225,49110,36603,36288,15789,15877,159543086,99772,78481,6902,202676718,40758,149541054,16670,148738978,38410,145017509,8027,162709387,38129826
64500,217429,245992,48886,37462,38687,18879,15607,153539148,96022,72776,6625,202762263,43229,145961774,18059,151007153,48014,118691241,8271,158694167,41798812
64750,226026,262160,50620,33965,34377,22640,15232,156792178,84525,77163,6942,205053415,41339,136459825,19749,149252024,33537,110975116,8075,155676061,38983128
65000,227685,247421,48708,35510,35020,17847,14126,157843992,90243,72319,6786,203133716,38335,142122045,67544,154662553,32746,111640603,7760,161807869,37733460
65250,353595,254335,49248,34145,36364,16736,14617,155014147,158717,78346,6755,198536501,41080,143623041,15814,149889661,34954,115458520,7588,154529015,39570683
65500,280620,279650,48760,69871,33869,16730,14098,157122660,99327,73030,6610,206596872,38872,153415723,15452,156721200,34097,143346749,7579,154173965,42983575
65750,260355,227095,49242,81018,34365,15469,14049,159745257,91084,74036,6758,194766926,38903,163104037,15637,156775460,3329283,143721730,7733,122878685,38107965
66000,332498,234121,49062,101435,34563,16785,14879,163595168,92962,75179,6487,213906327,38327,171810101,18047,161660419,35486,123101267,7567,162430125,41581464
66250,248733,231454,47870,540361,36203,18255,14447,160492965,90332,73309,6579,208019648,38764,158679175,15381,163289911,36039,138977049,7623,154198403,38903702
66500,249326,250982,46435,102534,36836,14473,14158,163773565,89009,91571,6823,208824861,38472,148448631,16350,164979903,32877,126877619,7751,162853601,39049295
66750,253658,235715,46926,133614,37386,13995,14225,162670242,120298,75105,6489,208779574,42548,164560161,14709,163965768,31989,139454803,7640,163444172,40427745
67000,320190,282643,46627,59222,36297,15783,14294,171592470,95578,76090,6620,210152797,37436,165145721,16614,159187732,32737,123172334,8088,168216823,40032177
67250,309179,442345,46513,53902,36604,13707,14635,167890330,100147,77001,6614,213927164,39797,168524623,17227,167574896,31663,120457896,7883,167042654,42680966
67500,323827,228380,46760,38782,37048,16519,13728,167802253,111425,73926,6835,187014914,39777,144368340,17424,151698844,31554,144329133,7950,167838770,39341776
67750,274772,232390,49008,44421,36413,13537,13587,168697885,243577,74746,6813,192492692,41501,156205463,15864,159276664,30628,131327339,8620,166637940,36663842
68000,304578,253009,46423,41762,37055,12561,13338,171282565,138896,82837,6842,178820984,40970,149281076,17077,158744949,30157,152391398,7977,167378954,35936554
68250,328252,238302,46620,38159,36103,13540,15622,166629183,186303,72323,6830,168493228,39555,157415572,16012,148036611,29983,137898343,7957,121242878,36231870
68500,326584,229932,46309,38690,37912,15450,14900,170722941,196498,76933,6775,214047522,40519,158297753,16933,157452859,29593,139422772,8015,122290438,36139299
68750,340597,232499,47374,38114,38751,13791,13465,173856692,338528,73662,6850,214326155,40585,163865812,15620,159465452,31214,143990931,8139,114312031,37126878
69000,331666,270092,46296,38829,36247,12615,13688,175201486,153818,73991,6947,219110431,38038,159631686,15035,151497137,45711,143160619,7685,122484526,36428885
69250,349165,271184,46563,35345,37800,15056,15344,172976131,87624,107164,7139,216814010,42072,158315300,16593,151694018,31540,131404654,7942,163851538,36796797
69500,350792,266256,46575,70535,35862,14219,14704,180521361,89337,75601,7144,221491067,40305,158575580,16462,150040035,31647,139645532,7785,174399426,38880818
69750,352722,279580,46250,38772,38111,13666,16398,176437579,133789,79618,7122,222827765,39353,163480033,17347,150387731,29885,148388270,7900,165066999,37414350
70000,345190,310604,46414,34274,37298,13605,15165,178243357,94272,87627,7384,217445004,38742,167188784,16675,150886359,30309,131600504,7890,174809795,41718564
70250,315029,280001,47025,34522,36929,13504,14316,188554506,87562,81681,7425,222979979,38719,165463075,16781,151136111,28660,161315663,7634,173992528,37811674
70500,359881,291455,46417,34818,35959,13805,16024,175966054,86514,84651,7336,208238677,40069,176921973,16576,151440165,29051,171421114,7891,172594338,36888878
70750,266463,314626,46873,33201,40383,13711,15108,180068745,76099,84779,7435,219722314,38543,167702981,17777,151656826,29647,164590167,7687,176713264,37917729
71000,260805,272057,46419,35241,37689,15100,17780,181547593,91844,82959,7536,223693927,40659,169077452,16394,152875371,29593,174426887,7495,178609695,38721924
71250,313161,263117,46241,36557,39249,45403,14747,181404919,85411,102623,7665,224646342,41478,201858266,17683,157192739,31215,144279059,8129,176950804,39533449
71500,332931,265219,46239,34992,35943,22804,17273,181225134,93874,182870,7742,222384348,38930,196016354,16039,156792201,29148,139297694,7899,160838344,39980209
71750,264819,268127,46339,36606,37852,50463,17064,192958630,98873,67549,6549,267618053,38068,218039243,18825,153618911,29065,136927200,7714,130802172,41652898
72000,368172,270072,46357,32990,36180,33157,15804,183860168,83954,64222,6535,225241198,37265,192543706,18583,152842582,27334,173026907,7896,131720575,45337465
72250,325368,296330,46643,38051,37867,18993,16410,185426845,85828,68131,6686,226773842,38631,222566805,16753,148157985,29465,175145640,8067,161190914,41263533
72500,297128,305603,46545,57256,36521,17578,16044,185101502,84435,61090,7277,224855315,39408,200847941,19535,151167606,29652,181129006,7425,183094637,43091672
72750,339400,308790,46535,35793,34839,19162,16909,187378535,80561,65209,7530,197885654,34672,189485972,18952,150725562,27169,180471491,7682,179526242,44695800
73000,300265,318448,47829,34398,34884,18749,15771,189679614,94789,65575,8241,207309195,38805,171378772,20165,152939056,29675,184158932,8073,149512787,41010847
73250,326817,350026,46927,34987,36674,17933,15259,194551327,77301,64241,8242,209162383,37510,171090319,20621,153047237,29085,183009281,7504,131672438,41716873
73500,303491,303341,46498,33789,35947,19249,17713,186705225,75756,63806,8208,210348591,37702,175693714,20806,155931910,28593,189266375,8249,130544896,43654976
73750,305678,301534,46479,35864,37064,16758,15055,190294937,74235,62006,8259,183802214,38202,169134420,19014,161851095,28707,183706349,7513,124456249,40681036
74000,316368,284952,46848,37078,36326,16393,15317,193068638,82512,63753,8496,225878848,36677,172662359,20082,174827061,29837,183990413,7735,134332081,39519126
74250,313707,288264,47527,35672,35257,26032,17148,193475704,87454,63350,8468,230671348,43471,188131923,21051,179226232,28016,188487911,8590,145627509,50069648
74500,310223,327967,48921,35833,34346,15275,16560,200042570,85086,62516,8731,223905591,39572,204831235,35359,166347833,29283,161825385,7690,128167980,45028746
74750,274726,328972,48693,40023,38773,18073,15653,194159999,85584,64427,8757,231306052,41968,224860907,17360,163672848,30107,130654442,8086,139363168,44652238
75000,293921,330721,46587,33834,35416,19704,18627,197953557,76554,62585,8903,215443187,45333,209399349,16503,170468540,44781,185022907,7920,143708370,43606614
75250,325191,333363,47034,33688,36394,19886,18259,201737011,77029,63555,8888,204790671,91177,226582899,18021,177730502,28309,187525412,7937,136742404,39322450
75500,286738,360400,46758,34205,36462,17786,17948,198351719,86038,62053,8917,180092314,56126,240940157,18208,158831404,29861,189393813,8317,141692945,44543807
75750,321072,337687,46911,32355,37080,15502,17863,201338622,114248,64844,9049,186606626,48801,271697118,15669,176368935,28293,190516361,7893,179279427,42395216
76000,312785,346617,46288,35434,34476,14877,20236,210965526,86198,67707,9319,234855106,49130,209177760,18116,163987900,29654,188248952,8033,168282549,45061023
76250,310525,344163,46789,31733,34303,19398,23883,206388280,93375,63047,9521,234476353,206655,203907573,17542,170243967,28270,194050123,7982,147829111,45113833
76500,320339,327921,46536,36001,36481,16969,19057,209430880,88294,68489,9536,236349291,46165,247408103,17375,187458467,29911,187604682,7986,149601133,47287845
76750,244169,341873,51492,33257,35840,17466,54905,213205369,104004,64674,9355,241594149,43071,190671690,16092,170852815,28908,188461970,8134,189779441,47381119
77000,204241,320037,61852,32785,36247,16297,48503,208503912,117490,65132,9292,240320264,44815,161693688,15991,162179066,29034,191680433,8093,188350641,49506471
77250,206234,318953,51585,33337,36292,15846,44310,206428341,106344,64450,8770,235427248,53610,152805551,17259,166672819,28305,169340940,8347,165038792,53601040
77500,209582,555608,46402,33480,45245,16484,30163,213377148,95082,64141,9566,240948510,45820,171696141,18723,175168990,28241,190049315,8709,140120836,48474277
77750,198810,366448,46641,34519,41702,11856,22710,216385734,101143,64739,9201,241360243,44860,201029510,18178,170058657,29220,169225118,8353,151116794,52965403
78000,233453,524843,46443,32596,40028,12058,20290,220782986,113908,70036,7498,241048279,44117,191132608,18808,171040839,28141,190595098,8350,133782081,51185725
78250,285070,586619,46853,35298,41501,14080,21847,218354820,113313,69858,7544,241863232,41973,193338750,18575,172270842,28862,195574561,8162,142213784,51473009
78500,296568,355994,46514,34977,44044,15519,24197,226272510,104037,66665,7413,245532289,42972,197042597,18274,179052911,28216,193850002,8015,137893290,52043523
78750,261088,423538,86760,41758,61717,17208,19410,217871000,107659,63764,7637,221280047,44934,195475840,18003,173592228,28183,193170917,73559,145579712,50204099
79000,268917,355715,47033,36521,76843,13240,16846,217640643,107157,65450,9860,195484303,62545,197758816,18115,174985568,28662,195839465,116732,196415146,51061653
79250,289118,331735,46873,46667,50082,19789,19475,232266623,109550,66901,10527,212720317,56842,197391219,18184,178404320,28940,199668793,8315,193935926,49556070
79500,272589,338975,46446,36553,39308,15334,24998,222025180,114475,66348,7370,205085041,78389,171401350,18530,183469639,28642,193716559,8772,192262864,46648030
79750,230423,374580,47024,33700,36631,13527,62061,223646845,120576,68438,7082,246359960,67948,187085635,16141,181214187,27634,198928988,8681,194074977,57351057
80000,238703,415388,46560,35244,41928,16594,22130,227467735,120033,65538,6955,252362562,55212,183044826,17741,178426356,28858,194040661,8763,198289206,49579970
80250,224603,469952,46550,37973,38845,17872,27700,256775464,109914,69633,7048,246495070,45554,200969356,16227,182544411,27765,204866663,9577,196825591,49080530
80500,197791,366248,46415,37445,37979,16952,26359,224311048,120260,71674,6966,252046839,44954,201891147,18717,213233618,28655,201369920,8678,193719883,48653487
80750,203622,337483,47175,43324,36407,17415,31268,228170578,157754,69765,7000,251393364,40295,199781286,18101,202694430,30202,199718106,46703,196550832,52691430
81000,213637,339329,46372,41392,139227,17543,36646,230672570,123207,64413,6781,253558305,38628,203380279,15870,226046639,31121,204534773,7914,194657436,55554486
81250,217327,343060,49047,40192,171002,15654,31811,259747811,130224,67473,7359,252026357,39871,204515076,17760,209689687,28701,193964523,7838,185845229,44772209
81500,224243,346571,52769,41461,133378,13783,41464,231489998,131399,68996,7630,229087729,40463,205919483,17918,212598114,29664,204370910,8322,188958361,50848350
81750,269221,344363,70453,37204,60030,13678,34351,237919831,112961,91260,8043,199822992,39939,198336859,16656,211080589,30836,204442808,9512,198311500,54402151
82000,220574,362542,67617,38115,216957,13556,37181,245147239,121426,67834,6852,253195943,40957,205352854,19957,222369347,34703,205120918,8071,201377909,54818716
82250,220160,326366,64921,40482,67944,15237,39174,268337285,116257,67547,7115,256440560,39629,187764944,19762,185429674,34536,205997377,7826,199737375,52742110
82500,256611,328351,47243,42487,56106,11513,31322,245608365,125451,69162,7021,236581156,41464,177307581,17656,224085189,36425,148206497,7482,203492746,51015374
82750,210894,316763,47278,40609,50151,12241,24066,243769606,127283,68777,6940,246358019,40502,209544376,18644,207695410,35340,152087818,7929,202308695,50084429
83000,215202,318787,46386,37087,50137,14919,19380,240846790,129419,71258,7521,260947649,41951,188503873,18556,208251864,38066,205595624,7962,171431567,52055674
83250,219503,318749,46977,37518,47236,12717,24029,242550801,125651,67569,23206,257371939,39119,182821864,18472,223183867,36134,204756938,8126,145016524,53669188
83500,231763,329767,69737,33941,39942,11786,19039,254512903,128369,68818,7356,220286022,39311,174026992,17266,196261700,33449,208959807,8567,161209187,53444200
83750,207428,315918,73946,36883,46959,12218,19532,243319300,147869,69322,7272,240018201,42211,202624813,18838,203488819,57146,206352446,44796,200919585,52994191
84000,207560,324454,75585,34428,38181,11664,18112,251119101,99695,72344,16595,263806027,40931,216969730,18490,259145195,33448,193299168,8494,187959239,51030825
84250,211839,321341,77896,38233,40656,12756,19778,248490062,86450,71761,20417,251082888,39065,221437223,18856,981451148,32584,206038085,67772,190953618,50580542
84500,278222,340441,79332,34846,41417,12237,17890,250297796,88326,70822,7137,215984140,41848,185417374,17073,577025677,32193,205444178,7759,196151451,47863533
84750,251492,321842,79100,37096,41425,12041,24990,245773763,91020,68675,7339,227921387,41102,180882773,20712,373759480,33660,212717706,7509,178356064,47702391
85000,227406,320575,78810,34957,41127,11802,21396,269101898,98829,70845,7298,221662235,43539,184092510,19721,296972732,32415,172672471,7876,205467679,49491974
85250,220137,316415,66927,33385,40407,10973,18040,257633956,83481,69047,6692,222523068,40583,207057104,19514,300862235,31210,213974810,7554,206522907,48878263
85500,190174,315688,60826,31519,39693,12130,19055,255285430,93168,71492,6687,254757113,38840,226285956,17138,283029986,31019,210867779,7346,205910071,49312117
85750,200536,311299,74207,32330,39553,12040,26117,250488748,87964,76443,7261,228071160,40914,220452595,22471,349903079,29838,211964270,7663,208609876,49185444
86000,201193,313130,70922,37689,38682,13146,43177,261171028,86773,73673,6740,270450054,41200,222043593,19209,445073908,28692,216792254,7700,211970690,49899199
86250,224625,315941,71054,37139,38459,12232,40879,262371618,87749,74577,7105,268134914,39287,215761124,23293,388602576,40407,213080500,7615,208376296,51048138
86500,203782,356907,70721,39269,44721,12403,53183,265312254,87783,74176,6742,274269431,41545,232423502,24425,381058899,35427,203343462,7352,199638572,49866022
86750,211504,599812,104104,38493,39018,12833,54031,264260142,84117,73294,6626,269673179,69774,229944489,20814,390988107,28003,161705889,7668,211130596,51194339
87000,202496,1007418,95123,39385,39100,11687,132730,267564344,108074,76522,6678,277560527,66106,231814681,22764,279274301,26614,188089054,7571,209011079,51615900
87250,221649,433532,69558,43026,38063,12191,101908,268179446,118191,76543,6877,275670677,69083,228298019,21663,285696116,31297,216094444,7387,213750880,52688943
87500,210380,443582,68657,38316,38424,12492,54216,263382020,124629,77408,6738,260809855,74693,231564962,20013,278218889,31996,198607226,7397,209616687,51912481
87750,250694,498869,68844,37358,45201,12760,186206,269299110,130387,78580,6935,223648338,68238,247283258,26556,379588944,32737,216407742,7713,214425514,57634701
88000,270815,386826,69618,36693,38894,12974,194772,274379750,115490,74309,7549,256827575,63458,243318099,72564,348027531,32811,214414677,7570,212997066,54956385
88250,236181,301488,69673,41800,40965,14066,141395,277300096,141735,77329,7596,280287325,67406,249003604,54740,275462774,42095,219105690,8071,212055778,55706635
88500,222549,287435,259076,36839,37106,13216,19779,277388295,133370,80348,6896,280796793,62362,248656801,23511,311420611,57576,190185189,7851,209311837,58303909
88750,231249,313180,46745,54330,48938,13710,22017,275771336,140602,80085,6620,280361692,67603,255645060,23082,344092865,36622,200035115,7948,214807098,54799880
89000,215945,301867,46870,39030,37624,15219,36915,314612671,154970,96402,6622,247970112,63862,254219823,49846,266382462,133170,217013884,7630,200859996,54842799
89250,206727,306992,46700,140036,37353,17257,21522,283552074,148459,77506,6629,250975956,63366,244222595,25327,311973617,408803,198556971,7708,197416563,51591183
89500,208753,348476,46675,40470,39126,13717,65066,276177541,147754,81953,7362,235811123,65556,260186171,26744,322767868,41271,185692368,7928,153832025,51448024
89750,203011,365412,46974,41521,38631,14821,25900,315401689,147789,75279,8035,283057563,62159,256144080,49977,434286914,31430,156289842,7674,176729100,54868096
90000,198249,324794,47821,56299,37258,13763,14770,328094955,148116,80067,30689,291722312,60227,252249698,23006,412795958,29766,181368614,7895,214352919,54559931
90250,209604,437238,48567,51481,42748,15233,19123,278742022,147426,80266,6717,280543031,84860,276029773,24352,344529702,29489,204664328,8278,218392280,52594744
90500,206756,349369,46368,49150,39487,19064,46964,284539199,161216,74857,6623,288211854,63000,271373853,26541,328196975,29809,207903542,8252,219179895,51777542
90750,215503,387651,46743,61718,37484,19716,52155,289927806,106946,74999,6610,290472864,66957,277758746,25232,357447452,87944,222271549,102658,219426563,55637942
91000,209512,290981,46716,80642,101389,19372,50084,287072365,96527,94952,7474,290370225,64682,276983204,25695,336853638,30379,220471623,7909,174124075,59650173
91250,202808,311486,49610,58554,44509,25156,39156,288344938,95886,89030,6802,267905137,65829,271268698,24039,387060612,36803,217781972,7884,155168602,60154098
91500,231832,300290,51197,48294,42709,75359,69467,301339491,98473,85056,6740,235006937,61479,286947206,26532,381171481,31224,224354560,8210,163646541,58045109
91750,205344,320422,54212,77917,40407,41861,56975,292776503,96506,84931,6730,234047962,64419,282660241,25675,338546986,29737,219178500,10663,208797120,59460341
92000,204863,308796,54538,78225,38222,23758,16573,299267222,113440,78735,6956,247577049,60291,287109905,22495,330322660,31984,223332595,9710,222032385,58870704
92250,209178,309362,77424,50361,38585,16778,12682,287323135,95875,78694,10147,295138163,60145,296067522,25190,366801364,28566,209525733,11146,219275599,58061181
92500,235888,318876,51762,37860,39829,21461,14216,301003863,111558,78487,9844,290165287,59738,303922243,63376,355103684,29328,221818261,10146,218780760,57071570
92750,208119,325841,47123,35286,43335,66480,13578,294830436,123173,91052,10122,296810964,58140,300429100,62547,331122050,28867,219325408,12497,224117146,54696978
